filename,umap_x,umap_y,cluster_id
20_V10_o2sat.png,2.517987,3.3252854,-1
20_V11_o2sat.png,2.7732584,4.1543345,-1
20_V1_o2sat.png,3.3534467,3.2658248,7
20_V2_o2sat.png,0.77454317,2.8460803,10
20_V3_o2sat.png,2.4076455,2.333371,-1
20_V4_o2sat.png,3.0302467,3.1682127,7
20_V5_o2sat.png,3.2652683,3.0910258,7
20_V6_o2sat.png,0.39548653,3.7120852,10
20_V7_o2sat.png,2.4500244,2.9352558,12
20_V8_o2sat.png,2.667129,3.7851918,-1
21_V1_o2sat.png,-0.7240937,4.0261407,10
21_V2_o2sat.png,-0.087844945,3.2782464,10
21_V3_o2sat.png,-0.5438141,3.7842515,10
21_V4_o2sat.png,-0.5921248,4.2417984,-1
22_V1_o2sat.png,4.8039627,4.8215046,-1
23_V1_o2sat.png,3.0615144,2.8525224,7
23_V2_o2sat.png,-0.47915673,3.1747227,-1
23_V3_o2sat.png,2.1314342,3.379231,12
23_V4_o2sat.png,2.340387,3.2157238,12
23_V5_o2sat.png,2.012035,3.0889077,12
24_V1_o2sat.png,1.5799716,3.3414717,-1
24_V2_o2sat.png,1.2472972,3.0295544,10
24_V3_o2sat.png,1.6109939,3.5507162,9
24_V4_o2sat.png,2.0045588,3.4074736,-1
24_V5_o2sat.png,0.83089393,5.5962596,-1
25_V1_o2sat.png,0.5291677,3.9205682,-1
25_V2_o2sat.png,0.6507059,3.3436425,10
25_V3_o2sat.png,0.3740665,3.568966,10
25_V4_o2sat.png,0.111285195,3.8527777,10
25_V5_o2sat.png,-0.16325635,3.7372818,10
26_V1_o2sat.png,5.066882,2.8827202,3
26_V2_o2sat.png,5.755801,2.1482425,3
26_V3_o2sat.png,5.681327,2.1822596,3
27_V1_o2sat.png,1.5255921,2.4695642,-1
27_V2_o2sat.png,0.7374269,2.6888897,-1
27_V3_o2sat.png,1.6588751,3.1453366,12
27_V4_o2sat.png,1.8567727,2.851703,-1
28_V1_o2sat.png,0.94129425,3.9953718,-1
29_V1_o2sat.png,1.4639965,3.8700366,9
2_V1_o2sat.png,5.430241,2.395304,3
2_V2_o2sat.png,5.3079157,2.4405646,3
2_V3_o2sat.png,4.644109,4.2980657,1
2_V4_o2sat.png,6.68549,2.9312663,3
30_V1_o2sat.png,-0.06520763,2.8903005,-1
30_V2_o2sat.png,1.9708652,4.047362,9
31_V2_o2sat.png,4.491697,3.2686217,-1
31_V3_o2sat.png,3.963113,4.3201356,1
31_V4_o2sat.png,4.4357567,5.1184373,-1
31_V5_o2sat.png,4.1728344,4.406205,1
32_V1_o2sat.png,3.5016677,4.464005,1
32_V2_o2sat.png,1.9875939,2.0395665,-1
33_V1_o2sat.png,-0.09012518,3.750287,10
34_V1_o2sat.png,1.9555999,2.5740173,11
35_V1_o2sat.png,2.6243498,2.7307212,-1
36_V1_o2sat.png,-0.5412387,3.9057462,10
38_V1_o2sat.png,0.28932425,4.894991,6
38_V2_o2sat.png,1.9187893,3.2532003,12
39_V2_o2sat.png,4.8700047,3.1070597,3
39_V3_o2sat.png,5.036191,3.7928991,-1
39_V4_o2sat.png,4.782318,3.969266,1
3_V1_o2sat.png,2.3301854,4.4213295,9
40_V2_o2sat.png,6.2560973,3.4059372,3
40_V3_o2sat.png,6.1561146,3.6454315,3
40_V4_o2sat.png,6.142938,3.6095774,3
41_V1_o2sat.png,1.9260136,3.7562616,-1
42_V1_o2sat.png,0.7810196,3.5496418,10
42_V2_o2sat.png,0.30373213,4.5757318,6
42_V3_o2sat.png,0.22849496,4.5530434,6
42_V4_o2sat.png,1.09293,3.0757892,10
42_V5_o2sat.png,0.9087537,3.7437189,-1
42_V6_o2sat.png,1.482933,3.7724793,9
43_V1_o2sat.png,3.8736687,5.23133,0
43_V2_o2sat.png,3.9473524,5.3101997,0
43_V3_o2sat.png,3.9726546,5.436984,0
43_V4_o2sat.png,2.5916197,4.654467,9
44_V1_o2sat.png,-0.39439917,4.082922,10
44_V2_o2sat.png,-0.9568506,5.025437,5
44_V3_o2sat.png,-0.7140662,5.1430073,5
44_V4_o2sat.png,-0.8500986,5.288682,5
44_V5_o2sat.png,-0.9452414,5.371945,5
45_V1_o2sat.png,-0.50066763,5.4177303,5
45_V2_o2sat.png,1.1219432,2.031143,-1
46_V1_o2sat.png,1.1099674,1.9618613,-1
46_V2_o2sat.png,-0.22372375,1.983977,4
46_V3_o2sat.png,-0.049127754,1.9506598,4
46_V4_o2sat.png,-0.18555845,2.046763,4
46_V5_o2sat.png,-0.215822,2.0416682,4
46_V6_o2sat.png,-0.043977346,2.4296277,-1
46_V7_o2sat.png,-0.21211547,2.7404873,-1
46_V8_o2sat.png,0.022744896,2.4553118,-1
47_V1_o2sat.png,-0.7273285,4.2597003,10
47_V2_o2sat.png,1.8498402,3.0637786,12
47_V3_o2sat.png,2.22579,2.9729562,12
47_V4_o2sat.png,0.03582917,3.5480528,10
47_V5_o2sat.png,-0.5520328,3.5635905,10
47_V6_o2sat.png,-0.5038704,3.3732476,-1
47_V7_o2sat.png,0.394648,3.669323,10
